nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Mouton Tabaski,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_784942_uploaded_image1_1564157496.5.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons Ladoum,200 000CFA,200000.0,Très élevé (> 200k),"Grand Yoff, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_784546_uploaded_image1_1564151388.91.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,220 000CFA,220000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_774363_uploaded_image1_1563912507.32.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton - Bélier,220 000CFA,220000.0,Très élevé (> 200k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_774349_uploaded_image1_1563912073.63.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Ladoum,950 000CFA,950000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_afrikannonce_932560_uploaded_image1_1568203329.3.jpg,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,Prix sur demande,,Non spécifié,"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_769625_uploaded_image1_1563810689.31.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,Prix sur demande,,Non spécifié,"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_769623_uploaded_image1_1563810688.43.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,300 000CFA,300000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_766916_uploaded_image1_1563732550.35.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,250 000CFA,250000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_766905_uploaded_image1_1563732059.09.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,250 000CFA,250000.0,Très élevé (> 200k),"Dakar-Plateau, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_766836_uploaded_image1_1563729305.46.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,250 000CFA,250000.0,Très élevé (> 200k),"Dakar-Plateau, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_766814_uploaded_image1_1563728621.09.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Ladoum,420 000CFA,420000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_766491_uploaded_image1_1563713033.52.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Ladoum,450 000CFA,450000.0,Très élevé (> 200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_765218_uploaded_image1_1563649515.86.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Malaw,Prix sur demande,,Non spécifié,"Grand Dakar, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_761777_uploaded_image1_1563546210.72.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Ladoum mâle et femelle,800 000CFA,800000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_afrikannonce_932546_uploaded_image1_1568203274.06.jpg,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_754311_uploaded_image1_1563375993.83.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Tabaskie,140 000CFA,140000.0,Élevé (100k-200k),"HLM, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_754270_uploaded_image1_1563375178.15.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Tabaskie,140 000CFA,140000.0,Élevé (100k-200k),"HLM, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_754269_uploaded_image1_1563375078.76.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,140 000CFA,140000.0,Élevé (100k-200k),"HLM, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_754261_uploaded_image1_1563374953.78.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton gris noir,150 000CFA,150000.0,Élevé (100k-200k),"HLM, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_754257_uploaded_image1_1563374819.0.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,Prix sur demande,,Non spécifié,Sénégal,Autre,https://images.coinafrique.com/thumb_754242_uploaded_image1_1563374558.14.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton de Tabaski,Prix sur demande,,Non spécifié,"Hann Bel-Air, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_752727_uploaded_image2_1563357212.02.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton de Tabaski,Prix sur demande,,Non spécifié,"Hann Bel-Air, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_752719_uploaded_image1_1563357011.76.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,300 000CFA,300000.0,Très élevé (> 200k),"Saint Louis, Sénégal",Autre,https://images.coinafrique.com/thumb_751785_uploaded_image1_1563314576.98.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,220CFA,220.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_751740_uploaded_image1_1563313372.96.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,25 000CFA,25000.0,Bas (< 50k),Sénégal,Autre,https://images.coinafrique.com/thumb_743301_uploaded_image1_1563049123.51.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,260 000CFA,260000.0,Très élevé (> 200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,160 000CFA,160000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_743068_uploaded_image1_1563041352.73.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,160 000CFA,160000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_743067_uploaded_image1_1563041352.31.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,150 000CFA,150000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_743066_uploaded_image1_1563041262.7.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton,150 000CFA,150000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_743065_uploaded_image1_1563041220.15.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,250 000CFA,250000.0,Très élevé (> 200k),Sénégal,Autre,https://images.coinafrique.com/thumb_742328_uploaded_image1_1563020125.88.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,190 000CFA,190000.0,Élevé (100k-200k),"Fann, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_730962_uploaded_image1_1562758817.51.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Mouton Tabaski,250 000CFA,250000.0,Très élevé (> 200k),"HLM, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_725090_uploaded_image1_1562603963.91.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
Moutons,Prix sur demande,,Non spécifié,"Koussanar, Sénégal",Autre,https://images.coinafrique.com/thumb_724916_uploaded_image1_1562601308.96.png,2026-02-26 23:10:29,coinAfrique_moutons.csv
