nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Pigeon Mondain,150 000CFA,150000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5232372_uploaded_image1_1741970489.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin Métis Californien,25 000CFA,25000.0,Bas (< 50k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_5225208_uploaded_image1_1741633076.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Coque Hermine,50 000CFA,50000.0,Moyen (50k-100k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5202384_uploaded_image1_1740482590.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapins métis californiens,10 000CFA,10000.0,Bas (< 50k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_5198096_uploaded_image1_1740225080.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin Californien,120 000CFA,120000.0,Élevé (100k-200k),"Almadies 2, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5189123_uploaded_image1_1739781768.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon voyageur,5 000CFA,5000.0,Bas (< 50k),"Dakar Plateau, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5180652_uploaded_image1_1739276152.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussin herminé,10 000CFA,10000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon Mondain,150 000CFA,150000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin,12 000CFA,12000.0,Bas (< 50k),"Diamniadio, Sénégal",Autre,https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Lapin,12 000CFA,12000.0,Bas (< 50k),"Diamniadio, Sénégal",Autre,https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussin Herminé,36 000CFA,36000.0,Bas (< 50k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussins,Prix sur demande,,Non spécifié,"Parcelle Assainies, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Couple lahore lavande,30 000CFA,30000.0,Bas (< 50k),"Patte d'oie, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Pigeon Mondain,200 000CFA,200000.0,Très élevé (> 200k),"Rufisque, Sénégal",Autre,https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poussin brahman,25 000CFA,25000.0,Bas (< 50k),"Pikine, Sénégal",Autre,https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Mondain noir,150 000CFA,150000.0,Élevé (100k-200k),"Guediawaye, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
couple boulon saxe,45 000CFA,45000.0,Bas (< 50k),"Mariste, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_5069958_uploaded_image1_1733056070.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Poule Brahma,45 000CFA,45000.0,Bas (< 50k),"Pikine, Sénégal",Autre,https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
Couple mantau écailles de 2 mois,15 000CFA,15000.0,Bas (< 50k),"Mbour, Sénégal",Mbour,https://images.coinafrique.com/thumb_5043101_uploaded_image1_1731565347.jpg,2026-02-26 23:10:29,coinAfrique_lapin_pigeon.csv
