web_scraper_order,web_scraper_start_url,nom,prix,adresse,url_image
"1772096332-134","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau géniteur laitier","2 000 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3039728_uploaded_image1_1617557251.jpg"
"1772096332-135","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oisillons","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3026572_uploaded_image1_1617014695.jpg"
"1772096332-136","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie adulte","80 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg"
"1772096332-137","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","800 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3012715_uploaded_image1_1616282777.jpg"
"1772096332-138","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","425 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3012014_uploaded_image1_1616250290.jpg"
"1772096332-139","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Laor noir","35 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005811_uploaded_image1_1615937465.jpg"
"1772096332-140","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Porc","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3004606_uploaded_image1_1615897391.jpg"
"1772096332-141","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2968890_uploaded_image1_1614172978.jpg"
"1772096332-142","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora turque","160 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg"
"1772096332-143","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple oie de toulouse adulte","85 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2936871_uploaded_image1_1612659734.jpg"
"1772096332-144","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perroquet Sénégal avec cage","35 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2930350_uploaded_image1_1612388040.jpg"
"1772096332-145","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Jument arabe","1 500 000CFA","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2924412_uploaded_image1_1612197584.jpg"
"1772096332-146","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches - inséparables","12 500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2896567_uploaded_image1_1610914575.jpg"
"1772096332-147","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde rouge","70 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2888081_uploaded_image1_1610544422.jpg"
"1772096332-148","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton noir blanc","Prix sur demande","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2886750_uploaded_image1_1610486302.jpg"
"1772096332-149","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bouc race laitière","Prix sur demande","Saly, Sénégal","https://images.coinafrique.com/thumb_2881915_uploaded_image1_1610303521.jpg"
"1772096332-150","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Canard Colvert","50 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg"
"1772096332-151","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2860327_uploaded_image1_1609342553.jpg"
"1772096332-152","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veau","250 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg"
"1772096332-153","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","550 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_2846588_uploaded_image1_1608636321.jpg"
"1772096332-154","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora Turc","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg"
"1772096332-155","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde d'amérique","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2735977_uploaded_image1_1604436594.jpg"
"1772096332-156","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","300 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2709747_uploaded_image1_1603289227.jpg"
"1772096332-157","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Canard","35 000CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg"
"1772096332-158","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Olpliitone 20 jours","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2701057_uploaded_image1_1602937383.jpg"
"1772096332-159","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Âne Arabe","850 000CFA","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2697117_uploaded_image1_1602773283.jpg"
"1772096332-160","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","250 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694722_uploaded_image1_1602689183.jpg"
"1772096335-161","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies de garde","200 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4033376_uploaded_image1_1672817271.jpg"
"1772096335-162","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","450 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4029054_uploaded_image1_1672496527.jpg"
"1772096335-163","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Jument","550 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4029052_uploaded_image1_1672496436.jpg"
"1772096335-164","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","475CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_4015081_uploaded_image1_1671456683.jpg"
"1772096335-165","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perroquets Roseicollis","50 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4006084_uploaded_image1_1670879833.jpg"
"1772096335-166","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton Persan","400 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg"
"1772096335-167","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chat persan hymalayen","350 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4002094_uploaded_image1_1670612752.jpg"
"1772096335-168","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","600 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4001249_uploaded_image1_1670577657.jpg"
"1772096335-169","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","600 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3991901_uploaded_image1_1670076562.jpg"
"1772096335-170","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chèvre","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3985611_uploaded_image1_1669761997.jpg"
"1772096335-171","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perruches ondulées","12 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg"
"1772096335-172","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paon","450 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3956247_uploaded_image2_1667916424.jpeg"
"1772096335-173","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Dinde","35 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3956243_uploaded_image1_1667916312.jpg"
"1772096335-174","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Poissons aquarium","7 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3922652_uploaded_image1_1665918281.jpg"
"1772096335-175","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Anes","500 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3916725_uploaded_image1_1665569939.jpg"
"1772096335-176","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœuf","700 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3916720_uploaded_image1_1665569801.jpg"
"1772096335-177","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paons bleus","400 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3916692_uploaded_image1_1665568760.jpg"
"1772096335-178","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton Scottish Fold","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3915043_uploaded_image1_1665477189.jpg"
"1772096335-179","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cailles","2 500CFA","Ziguinchor, Sénégal","https://images.coinafrique.com/thumb_3905361_uploaded_image1_1664880986.jpg"
"1772096335-180","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paon","50 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3901686_uploaded_image1_1664658095.jpg"
"1772096335-181","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Œufs","9 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3862604_uploaded_image1_1662310160.jpg"
"1772096335-182","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cobaye mâle","16 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3868453_uploaded_image1_1662603701.jpg"
"1772096335-183","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","65 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_3850590_uploaded_image1_1661716395.jpg"
"1772096335-184","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3819174_uploaded_image1_1659877769.jpg"
"1772096335-185","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœuf","750 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3817866_uploaded_image1_1659784836.jpg"
"1772096335-186","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster dorée","15 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3814562_uploaded_image1_1659613355.jpg"
"1772096335-187","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","1 000 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg"
"1772096335-188","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Peruche ondulée","10 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3803986_uploaded_image1_1659036881.jpg"
"1772096335-189","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3798116_uploaded_image1_1658707333.jpg"
"1772096335-190","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cailles","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3797181_uploaded_image1_1658618385.jpg"
"1772096335-191","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Veau","300 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_3784229_uploaded_image1_1657796861.jpg"
"1772096335-192","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster","15 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3780966_uploaded_image1_1657566627.jpg"
"1772096335-193","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple Hamster","45 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3779809_uploaded_image1_1657474571.jpg"
"1772096335-194","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Veaux","200 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_3775233_uploaded_image1_1657130525.jpg"
"1772096335-195","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oiseaux exotiques","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3773129_uploaded_image1_1657027947.jpg"
"1772096335-196","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paire Oie","130 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3763969_uploaded_image1_1656542478.jpg"
"1772096335-197","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Canard","Prix sur demande","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_3761752_uploaded_image1_1656414791.jpg"
"1772096335-198","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Sacs de foin - Ngogne","5 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3747916_uploaded_image1_1655548507.jpg"
"1772096335-199","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple cochons d'inde","25 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3738425_uploaded_image1_1655026461.jpg"
"1772096335-200","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3734952_uploaded_image1_1654795966.jpg"
"1772096335-201","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie","65 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3719072_uploaded_image1_1654007070.jpg"
"1772096335-202","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perruches ondulées","12 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3693176_uploaded_image1_1652374886.jpg"
"1772096335-203","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3691179_uploaded_image1_1652274956.jpg"
"1772096335-204","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg"
"1772096335-205","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paire colverts de Rouen","15 000CFA","Mboro, Sénégal","https://images.coinafrique.com/thumb_3686752_uploaded_image1_1652029317.jpg"
"1772096335-206","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton Angora","160 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg"
"1772096335-207","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Caille","2 000CFA","Sicap foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_3679001_uploaded_image1_1651592167.jpg"
"1772096335-208","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perroquet grand Haras","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3672216_uploaded_image2_1651097217.jpeg"
"1772096335-209","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton siamois","375 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3671821_uploaded_image1_1651072649.jpg"
"1772096335-210","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeufs","900 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3651241_uploaded_image1_1649808275.jpg"
"1772096335-211","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie géant","450 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3646953_uploaded_image1_1649560934.jpg"
"1772096335-212","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3645463_uploaded_image1_1649458129.jpg"
"1772096335-213","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_3645462_uploaded_image1_1649458078.jpg"
"1772096335-214","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton Angora","130 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3634435_uploaded_image1_1648913898.jpg"
"1772096335-215","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3615764_uploaded_image1_1647715657.jpg"
"1772096335-216","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochons","15 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3614166_uploaded_image1_1647608880.jpg"
"1772096335-217","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Taurillon laitier","1 000 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3613432_uploaded_image1_1647552342.jpg"
"1772096335-218","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chatons","400 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg"
"1772096335-219","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Caille","8 000CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3607957_uploaded_image1_1647266236.jpg"
"1772096335-220","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Poussin caille","500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3576048_uploaded_image1_1645409801.jpg"
"1772096335-221","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Dinde mâle","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3575899_uploaded_image1_1645394898.jpg"
"1772096335-222","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Poussins  d’oies","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg"
"1772096335-223","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","500 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3569117_uploaded_image1_1644951974.jpg"
"1772096335-224","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","900 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3544114_uploaded_image1_1643467299.jpg"
"1772096335-225","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Jeune cheval","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3526170_uploaded_image1_1642274663.jpg"
"1772096335-226","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamsters","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3525591_uploaded_image1_1642246209.jpg"
"1772096335-227","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bouc Espagnol","150 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3523752_uploaded_image1_1642113362.jpg"
"1772096335-228","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochon dinde","45 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3520084_uploaded_image1_1641925340.jpg"
"1772096335-229","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochon dinde","45 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3520078_uploaded_image1_1641925243.jpg"
"1772096335-230","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cochon dinde","45 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3520065_uploaded_image1_1641924846.jpg"
"1772096335-231","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3515231_uploaded_image1_1641645085.jpg"
"1772096335-232","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chat persan chinchilla","Prix sur demande","Fann-Point E-Amitié, Dakar, Sénégal","https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg"
"1772096335-233","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","300 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3509381_uploaded_image1_1641354659.jpg"
"1772096335-234","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Hamster","15 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3502571_uploaded_image1_1640864798.jpg"
"1772096335-235","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paon","350 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3500261_uploaded_image1_1640699224.jpg"
"1772096335-236","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies de toulouse","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3496368_uploaded_image2_1640341893.jpeg"
"1772096335-237","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœuf","900 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3492877_uploaded_image1_1640096405.jpg"
"1772096335-238","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Dindes","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3474757_uploaded_image2_1638966967.jpeg"
"1772096335-239","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton siamois","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg"
"1772096335-240","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","Prix sur demande","Louga, Sénégal","https://images.coinafrique.com/thumb_3448056_uploaded_image1_1637499860.jpg"
"1772096335-241","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple dinde rouge","90 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3425196_uploaded_image1_1636231334.jpg"
"1772096335-242","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Canards","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3422543_uploaded_image1_1636113502.jpg"
"1772096335-243","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paire d'oie","100 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3418166_uploaded_image1_1635935843.jpg"
"1772096335-244","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies de toulouse","450 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg"
"1772096340-245","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Poussins de canards","3 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4619825_uploaded_image1_1709296934.jpg"
"1772096340-246","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton","Prix sur demande","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4608863_uploaded_image1_1708712110.jpg"
"1772096340-247","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton Siamois Hymalayen","240 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4593854_uploaded_image1_1707927839.jpg"
"1772096340-248","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton Persan","400 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4592914_uploaded_image1_1707885493.jpg"
"1772096340-249","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton Scottish Fold","750 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4571582_uploaded_image1_1706729320.jpg"
"1772096340-250","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Perroquet youyou","10 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4570755_uploaded_image2_1706701706.jpeg"
"1772096340-251","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton Persan","400 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4569529_uploaded_image1_1706630955.jpg"
"1772096340-252","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Boeuf","600 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4568012_uploaded_image1_1706543950.jpg"
"1772096340-253","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Cochons d'inde","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4555313_uploaded_image1_1705776199.jpg"
"1772096340-254","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton Scotish Fold","750 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg"
"1772096340-255","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chaton Persan","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4540876_uploaded_image1_1705028116.jpg"
"1772096340-256","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Bœuf","Prix sur demande","Diamalaye 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4534540_uploaded_image1_1704746080.jpg"
"1772096340-257","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Poissons aquarium","7 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg"
"1772096340-258","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Chatons Serval","1 500 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_4517799_uploaded_image1_1703777941.jpg"
"1772096340-259","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Couple dinde","40 000CFA","Kolda, Sénégal","https://images.coinafrique.com/thumb_4506000_uploaded_image1_1702997150.jpg"
"1772096340-260","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Cochons","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4503064_uploaded_image1_1702806770.jpg"
"1772096340-261","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Cochons","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4503058_uploaded_image1_1702806558.jpg"
"1772096340-262","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Pintade","75 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4465594_uploaded_image1_1700505532.jpg"
"1772096340-263","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Perruche Anglaise","40 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4456172_uploaded_image1_1699885668.jpg"
"1772096340-264","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Perruches ondulées","15 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4456156_uploaded_image1_1699884359.jpg"
"1772096340-265","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Cailles","1 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg"
"1772096340-266","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Perruche ondulée","7 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4452994_uploaded_image1_1699659802.jpg"
"1772096340-267","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Paon","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4451044_uploaded_image1_1699554808.jpg"
"1772096340-268","https://sn.coinafrique.com/categorie/autres-animaux?page=3","Paon","65 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg"
