web_scraper_order,web_scraper_start_url,prix,nom,adresse,url_image
"1772096760-321","https://sn.coinafrique.com/categorie/moutons?page=12","250 000CFA","Bélier","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2446642_uploaded_image1_1594903857.jpg"
"1772096760-322","https://sn.coinafrique.com/categorie/moutons?page=12","285CFA","Moutons","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2446626_uploaded_image1_1594903649.jpg"
"1772096760-323","https://sn.coinafrique.com/categorie/moutons?page=12","285CFA","Mouton tabaski","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2446614_uploaded_image1_1594903520.jpg"
"1772096760-324","https://sn.coinafrique.com/categorie/moutons?page=12","180 000CFA","Mouton","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2444930_uploaded_image1_1594866577.jpg"
"1772096760-325","https://sn.coinafrique.com/categorie/moutons?page=12","250 000CFA","Mouton tabaski","Dakar, Sénégal","https://images.coinafrique.com/thumb_2444077_uploaded_image1_1594846264.jpg"
"1772096760-326","https://sn.coinafrique.com/categorie/moutons?page=12","800 000CFA","Mouton","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2444058_uploaded_image1_1594845880.jpg"
"1772096760-327","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton ladoum","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443674_uploaded_image1_1594837699.jpg"
"1772096760-328","https://sn.coinafrique.com/categorie/moutons?page=12","500 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_2443054_uploaded_image1_1594827992.jpg"
"1772096760-329","https://sn.coinafrique.com/categorie/moutons?page=12","500 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_2443040_uploaded_image1_1594827823.jpg"
"1772096760-330","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2442580_uploaded_image1_1594821706.jpg"
"1772096760-331","https://sn.coinafrique.com/categorie/moutons?page=12","350CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441887_uploaded_image1_1594814474.jpg"
"1772096760-332","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441871_uploaded_image1_1594814268.jpg"
"1772096760-333","https://sn.coinafrique.com/categorie/moutons?page=12","185 000CFA","Moutons","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441867_uploaded_image1_1594814213.jpg"
"1772096760-334","https://sn.coinafrique.com/categorie/moutons?page=12","180CFA","Moutons","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441838_uploaded_image1_1594813787.jpg"
"1772096760-335","https://sn.coinafrique.com/categorie/moutons?page=12","260 000CFA","Moutons tabaski","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441725_uploaded_image1_1594811918.jpg"
"1772096760-336","https://sn.coinafrique.com/categorie/moutons?page=12","160 000CFA","Mouton","Bambey, Sénégal","https://images.coinafrique.com/thumb_2441442_uploaded_image1_1594808193.jpg"
"1772096760-337","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_2440154_uploaded_image1_1594765395.jpg"
"1772096760-338","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2440034_uploaded_image1_1594762096.jpg"
"1772096760-339","https://sn.coinafrique.com/categorie/moutons?page=12","200 000CFA","Moutons","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2439397_uploaded_image1_1594749266.jpg"
"1772096760-340","https://sn.coinafrique.com/categorie/moutons?page=12","160 000CFA","Mouton","Thies, Sénégal","https://images.coinafrique.com/thumb_2439253_uploaded_image1_1594746289.jpg"
"1772096760-341","https://sn.coinafrique.com/categorie/moutons?page=12","185 000CFA","Mouton","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2439058_uploaded_image1_1594743848.jpg"
"1772096760-342","https://sn.coinafrique.com/categorie/moutons?page=12","250CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2438149_uploaded_image1_1594732078.jpg"
"1772096760-343","https://sn.coinafrique.com/categorie/moutons?page=12","900 000CFA","Mouton","Louga, Sénégal","https://images.coinafrique.com/thumb_2437751_uploaded_image1_1594727943.jpg"
"1772096760-344","https://sn.coinafrique.com/categorie/moutons?page=12","900 000CFA","Mouton","Louga, Sénégal","https://images.coinafrique.com/thumb_2437286_uploaded_image1_1594723037.jpg"
"1772096760-345","https://sn.coinafrique.com/categorie/moutons?page=12","160 000CFA","Mouton","Bambey, Sénégal","https://images.coinafrique.com/thumb_2436968_uploaded_image1_1594717626.jpg"
"1772096760-346","https://sn.coinafrique.com/categorie/moutons?page=12","600 000CFA","Moutons","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2436209_uploaded_image1_1594686949.jpg"
"1772096760-347","https://sn.coinafrique.com/categorie/moutons?page=12","150 000CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436197_uploaded_image1_1594686613.jpg"
"1772096760-348","https://sn.coinafrique.com/categorie/moutons?page=12","450 000CFA","Mouton","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2435561_uploaded_image1_1594671583.jpg"
"1772096760-349","https://sn.coinafrique.com/categorie/moutons?page=12","350 000CFA","Mouton tabaski","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2435322_uploaded_image1_1594666955.jpg"
"1772096760-350","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons de  tabaski","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2434734_uploaded_image1_1594656926.jpg"
"1772096760-351","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2434190_uploaded_image1_1594649126.jpg"
"1772096760-352","https://sn.coinafrique.com/categorie/moutons?page=12","300 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2433273_uploaded_image1_1594639450.jpg"
"1772096760-353","https://sn.coinafrique.com/categorie/moutons?page=12","350 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2433258_uploaded_image1_1594639349.jpg"
"1772096760-354","https://sn.coinafrique.com/categorie/moutons?page=12","350 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2433249_uploaded_image1_1594639274.jpg"
"1772096760-355","https://sn.coinafrique.com/categorie/moutons?page=12","120 000CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2432088_uploaded_image1_1594612779.jpg"
"1772096760-356","https://sn.coinafrique.com/categorie/moutons?page=12","130 000CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2432085_uploaded_image1_1594612674.jpg"
"1772096760-357","https://sn.coinafrique.com/categorie/moutons?page=12","160CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2431461_uploaded_image1_1594589547.jpg"
"1772096760-358","https://sn.coinafrique.com/categorie/moutons?page=12","180CFA","Moutons","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2431453_uploaded_image1_1594589413.jpg"
"1772096760-359","https://sn.coinafrique.com/categorie/moutons?page=12","350CFA","Mouton","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2431439_uploaded_image1_1594589116.jpg"
